hashtag,num_tweets,country
refugeeswelcome,1305,US
trump,1063,US
smartnews,856,US
maga,675,US
news,608,US
rohingya,499,US
buildthewall,440,US
closethecamps,394,US
syria,382,US
humanrights,347,US
topbuzz,346,US
foxnews,342,US
investigatenow,339,US
climatechange,317,US
wayfairwalkout,317,US
brexit,802,UK
brokenpromises,729,UK
eu,562,UK
refugeeswelcome,498,UK
europe,294,UK
familiestogether,289,UK
news,284,UK
syria,278,UK
rohingya,255,UK
uk,246,UK
asylumseekers,206,UK
turkey,205,UK
hostileenvironment,196,UK
trump,180,UK
unhcr,178,UK
